"video_url","image","duration","title","channel","style-scope 5","watch_time","posted_date","channed_status"
"https://www.youtube.com/watch?v=6oOHlcHkX2U","","","Try DJANGO Tutorial - 23 - Django Model Forms","CodingEntrepreneurs","•","107K views","4 years ago",""
"https://www.youtube.com/watch?v=Jyvffr3aCp0","","","Bootstrap 5 Crash Course","Web Dev Simplified","•","160K views","6 months ago",""
"https://www.youtube.com/watch?v=JeTGxvFnAaU","","","Register Users - Django Wednesdays Twitter #10","Codemy.com","•","916 views","13 days ago",""
"https://www.youtube.com/watch?v=m3efqF9abyg","https://i.ytimg.com/vi/m3efqF9abyg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCiAVSC2pwTWjth-l2jGifWbV8S1w","19:14","Add Blog Post Page - Django Blog #4","Codemy.com","•","43K views","2 years ago",""
"https://www.youtube.com/watch?v=zb4fIvtn4tY","https://i.ytimg.com/vi/zb4fIvtn4tY/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD4lIn2ezxfKs1sTeWULIYXkzj7jQ","20:20","Create A Blog Profile Page - Django Blog #30","Codemy.com","•","13K views","2 years ago",""
"https://www.youtube.com/watch?v=647j3b96aMs","https://i.ytimg.com/vi/647j3b96aMs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBMLXTNqjdhnKl63gh79S_Ftr6OvA","36:10","DJANGO CRISPY FORMS | Updated 2022 | ADVANCED Crash Course | Bootstrap 5 | No scripts | Part #01","Django Mastery","•","12K views","7 months ago",""
"https://www.youtube.com/watch?v=OuOB9ADT_bo","https://i.ytimg.com/vi/OuOB9ADT_bo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD9b0-K1Tw2mrI6T0XvpuE8zQfD3g","20:04","Post Blog Comments  - Django Blog #34","Codemy.com","•","24K views","2 years ago",""
"https://www.youtube.com/watch?v=6oOHlcHkX2U","https://i.ytimg.com/vi/6oOHlcHkX2U/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB8AfBFaQIghUTOMrXBmhZIDvzdZg","7:38","Try DJANGO Tutorial - 23 - Django Model Forms","CodingEntrepreneurs","•","107K views","4 years ago","Verified"
"https://www.youtube.com/watch?v=Jyvffr3aCp0","https://i.ytimg.com/vi/Jyvffr3aCp0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBhHRuq6fd3wyXg3CyRpr27qhX_QQ","1:11:15","Bootstrap 5 Crash Course","Web Dev Simplified","•","160K views","6 months ago","Verified"
"https://www.youtube.com/watch?v=JeTGxvFnAaU","https://i.ytimg.com/vi/JeTGxvFnAaU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAsBurqZhbOIRu-JW8KIAxMO-2-bg","20:47","Register Users - Django Wednesdays Twitter #10","Codemy.com","•","916 views","13 days ago",""
"https://www.youtube.com/watch?v=Y8Gj53tHzIA","https://i.ytimg.com/vi/Y8Gj53tHzIA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAEIAiV9G0vZlJh6lzw-XvoUJzISQ","5:29","Line Charts With Matplotlib - Pandas For Machine Learning 21","Codemy.com","•","743 views","1 month ago",""
"https://www.youtube.com/watch?v=C65ARlZCIZo","https://i.ytimg.com/vi/C65ARlZCIZo/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBKkitfR86-u_t3TVmManjX2Nnoaw","5:57","Box Plots With Matplotlib - Pandas For Machine Learning 23","Codemy.com","•","462 views","9 days ago",""
"https://www.youtube.com/watch?v=xStAYYP8ld0","https://i.ytimg.com/vi/xStAYYP8ld0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB3fJ10EMHQT64Nj-gedI_pICXD7A","9:36","Area Plots With Matplotlib - Pandas For Machine Learning 19","Codemy.com","•","1.5K views","1 month ago",""
"https://www.youtube.com/watch?v=sWDwS-mkvME","https://i.ytimg.com/vi/sWDwS-mkvME/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCO_b0to8c18IRkO6vlEq1hCqCMUg","4:06","How To Create A ChatGPT Chatbot With Tkinter and Python","Codemy.com","•","2.6K views","1 month ago",""
"https://www.youtube.com/watch?v=quJzUzCs6Q0","https://i.ytimg.com/vi/quJzUzCs6Q0/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD8u9evq6tMu7riyA5l9ebHBsgxwQ","12:17","62 - Customizing Form Fields, Widgets, Placeholders, & CSS - Python & Django 3.2 Tutorial Series","CodingEntrepreneurs","•","24K views","1 year ago","Verified"
"https://www.youtube.com/watch?v=-qbsBBYYahM","https://i.ytimg.com/vi/-qbsBBYYahM/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA5XF7Y5DjkmLqa1gtVaHh62nTevg","6:20","Build A ChatGPT Chatbot With Django and Python! New Course - MASSIVE Discount!","Codemy.com","•","3.2K views","1 month ago",""
"https://www.youtube.com/watch?v=jG-uJqDMpCY","https://i.ytimg.com/vi/jG-uJqDMpCY/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGCggUSh_MA8=&rs=AOn4CLCppLSU65kIWrq0x-C9mMwlM43Ajw","21:01","Solana Workshop: SolanaPay Storefront","Joseph Caulfield","•","24 views","7 days ago",""
"https://www.youtube.com/watch?v=0mCZdemSsbs","https://i.ytimg.com/vi/0mCZdemSsbs/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAL7xam9rz8s_nBDqr1tXfHzalh8Q","14:55","Django Tutorial - How to Add Bootstrap","Tech With Tim","•","71K views","3 years ago","Verified"
"https://www.youtube.com/watch?v=AW4NLdPMzlM&list=PL-51WBLyFTg2zfRmcHpJvY4wEfh8EKivh","https://i.ytimg.com/vi/AW4NLdPMzlM/hqdefault.jpg?sqp=-oaymwEWCKgBEF5IWvKriqkDCQgBFQAAiEIYAQ==&rs=AOn4CLBE7kIHHm-WB2VlypArrorIQvHk9Q","17","Django How To...","Dennis Ivy","•","","","Verified"
